Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3500105;Adamantina;2021; 33.869 ;Até 50 mil
3500204;Adolfo;2021; 3.436 ;Até 50 mil
3500303;Aguaí;2021; 35.885 ;Até 50 mil
3500402;Águas da Prata;2021; 7.807 ;Até 50 mil
3500501;Águas de Lindóia;2021; 18.438 ;Até 50 mil
3500550;Águas de Santa Bárbara;2021; 5.957 ;Até 50 mil
3500600;Águas de São Pedro;2021; 3.144 ;Até 50 mil
3500709;Agudos;2021; 36.255 ;Até 50 mil
3500758;Alambari;2021; 5.856 ;Até 50 mil
3500808;Alfredo Marcondes;2021; 3.924 ;Até 50 mil
3500907;Altair;2021; 4.052 ;Até 50 mil
3501004;Altinópolis;2021; 15.547 ;Até 50 mil
3501103;Alto Alegre;2021; 4.006 ;Até 50 mil
3501152;Alumínio;2021; 18.069 ;Até 50 mil
3501202;Álvares Florence;2021; 3.596 ;Até 50 mil
3501301;Álvares Machado;2021; 23.828 ;Até 50 mil
3501400;Álvaro de Carvalho;2021; 5.079 ;Até 50 mil
3501509;Alvinlândia;2021; 3.190 ;Até 50 mil
3501608;Americana;2021; 235.075 ;De 200 a 500 mil
3501707;Américo Brasiliense;2021; 40.676 ;Até 50 mil
3501806;Américo de Campos;2021; 5.730 ;Até 50 mil
3501905;Amparo;2021; 69.861 ;De 50 a 100 mil
3502002;Analândia;2021; 4.895 ;Até 50 mil
3502101;Andradina;2021; 56.087 ;De 50 a 100 mil
3502200;Angatuba;2021; 24.697 ;Até 50 mil
3502309;Anhembi;2021; 6.755 ;Até 50 mil
3502408;Anhumas;2021; 3.983 ;Até 50 mil
3502507;Aparecida;2021; 35.744 ;Até 50 mil
3502606;Aparecida d'Oeste;2021; 4.105 ;Até 50 mil
3502705;Apiaí;2021; 24.711 ;Até 50 mil
3502754;Araçariguama;2021; 21.289 ;Até 50 mil
3502804;Araçatuba;2021; 190.921 ;De 100 a 200 mil
3502903;Araçoiaba da Serra;2021; 32.846 ;Até 50 mil
3503000;Aramina;2021; 5.515 ;Até 50 mil
3503109;Arandu;2021; 6.168 ;Até 50 mil
3503158;Arapeí;2021; 2.469 ;Até 50 mil
3503208;Araraquara;2021; 228.792 ;De 200 a 500 mil
3503307;Araras;2021; 131.931 ;De 100 a 200 mil
3503356;Arco-Íris;2021; 1.806 ;Até 50 mil
3503406;Arealva;2021; 8.223 ;Até 50 mil
3503505;Areias;2021; 3.860 ;Até 50 mil
3503604;Areiópolis;2021; 10.900 ;Até 50 mil
3503703;Ariranha;2021; 9.378 ;Até 50 mil
3503802;Artur Nogueira;2021; 53.224 ;De 50 a 100 mil
3503901;Arujá;2021; 90.958 ;De 50 a 100 mil
3503950;Aspásia;2021; 1.760 ;Até 50 mil
3504008;Assis;2021; 101.825 ;De 100 a 200 mil
3504107;Atibaia;2021; 140.589 ;De 100 a 200 mil
3504206;Auriflama;2021; 14.478 ;Até 50 mil
3504305;Avaí;2021; 5.314 ;Até 50 mil
3504404;Avanhandava;2021; 12.188 ;Até 50 mil
3504503;Avaré;2021; 87.854 ;De 50 a 100 mil
3504602;Bady Bassitt;2021; 16.441 ;Até 50 mil
3504701;Balbinos;2021; 3.707 ;Até 50 mil
3504800;Bálsamo;2021; 8.542 ;Até 50 mil
3504909;Bananal;2021; 10.691 ;Até 50 mil
3505005;Barão de Antonina;2021; 3.407 ;Até 50 mil
3505104;Barbosa;2021; 7.345 ;Até 50 mil
3505203;Bariri;2021; 34.180 ;Até 50 mil
3505302;Barra Bonita;2021; 34.864 ;Até 50 mil
3505351;Barra do Chapéu;2021; 5.561 ;Até 50 mil
3505401;Barra do Turvo;2021; 7.709 ;Até 50 mil
3505500;Barretos;2021; 118.419 ;De 100 a 200 mil
3505609;Barrinha;2021; 32.658 ;Até 50 mil
3505708;Barueri;2021; 266.236 ;De 200 a 500 mil
3505807;Bastos;2021; 20.296 ;Até 50 mil
3505906;Batatais;2021; 60.502 ;De 50 a 100 mil
3506003;Bauru;2021; 365.523 ;De 200 a 500 mil
3506102;Bebedouro;2021; 73.969 ;De 50 a 100 mil
3506201;Bento de Abreu;2021; 2.966 ;Até 50 mil
3506300;Bernardino de Campos;2021; 10.793 ;Até 50 mil
3506359;Bertioga;2021; 64.526 ;De 50 a 100 mil
3506409;Bilac;2021; 7.855 ;Até 50 mil
3506508;Birigui;2021; 122.161 ;De 100 a 200 mil
3506607;Biritiba Mirim;2021; 32.683 ;Até 50 mil
3506706;Boa Esperança do Sul;2021; 14.658 ;Até 50 mil
3506805;Bocaina;2021; 12.243 ;Até 50 mil
3506904;Bofete;2021; 11.194 ;Até 50 mil
3507001;Boituva;2021; 57.987 ;De 50 a 100 mil
3507100;Bom Jesus dos Perdões;2021; 24.625 ;Até 50 mil
3507159;Bom Sucesso de Itararé;2021; 3.894 ;Até 50 mil
3507209;Borá;2021; 811 ;Até 50 mil
3507308;Boracéia;2021; 4.798 ;Até 50 mil
3507407;Borborema;2021; 15.370 ;Até 50 mil
3507456;Borebi;2021; 2.602 ;Até 50 mil
3507506;Botucatu;2021; 142.092 ;De 100 a 200 mil
3507605;Bragança Paulista;2021; 165.241 ;De 100 a 200 mil
3507704;Braúna;2021; 5.593 ;Até 50 mil
3507753;Brejo Alegre;2021; 2.780 ;Até 50 mil
3507803;Brodowski;2021; 24.132 ;Até 50 mil
3507902;Brotas;2021; 24.039 ;Até 50 mil
3508009;Buri;2021; 19.819 ;Até 50 mil
3508108;Buritama;2021; 16.673 ;Até 50 mil
3508207;Buritizal;2021; 4.323 ;Até 50 mil
3508306;Cabrália Paulista;2021; 4.306 ;Até 50 mil
3508405;Cabreúva;2021; 50.112 ;De 50 a 100 mil
3508504;Caçapava;2021; 91.646 ;De 50 a 100 mil
3508603;Cachoeira Paulista;2021; 32.381 ;Até 50 mil
3508702;Caconde;2021; 18.893 ;Até 50 mil
3508801;Cafelândia;2021; 17.286 ;Até 50 mil
3508900;Caiabu;2021; 4.104 ;Até 50 mil
3509007;Caieiras;2021; 101.748 ;De 100 a 200 mil
3509106;Caiuá;2021; 5.642 ;Até 50 mil
3509205;Cajamar;2021; 78.786 ;De 50 a 100 mil
3509254;Cajati;2021; 29.116 ;Até 50 mil
3509304;Cajobi;2021; 10.124 ;Até 50 mil
3509403;Cajuru;2021; 25.850 ;Até 50 mil
3509452;Campina do Monte Alegre;2021; 5.832 ;Até 50 mil
3509502;Campinas;2021; 1.181.555 ;Mais de 500 mil
3509601;Campo Limpo Paulista;2021; 83.530 ;De 50 a 100 mil
3509700;Campos do Jordão;2021; 50.307 ;De 50 a 100 mil
3509809;Campos Novos Paulista;2021; 4.841 ;Até 50 mil
3509908;Cananéia;2021; 12.379 ;Até 50 mil
3509957;Canas;2021; 5.120 ;Até 50 mil
3510005;Cândido Mota;2021; 30.010 ;Até 50 mil
3510104;Cândido Rodrigues;2021; 2.672 ;Até 50 mil
3510153;Canitar;2021; 5.051 ;Até 50 mil
3510203;Capão Bonito;2021; 46.521 ;Até 50 mil
3510302;Capela do Alto;2021; 20.828 ;Até 50 mil
3510401;Capivari;2021; 54.686 ;De 50 a 100 mil
